feature,history_window_hours,mean_abs_future_correlation,horizon_1_corr,horizon_24_corr
weather_wind_direction_mean_consistency,3.0,0.0681724846392177,-0.05196589669722438,-0.08239589295153128
weather_wind_direction_mean_consistency,4.0,0.07066656304854954,-0.053888778896355724,-0.08619744164596832
weather_wind_direction_mean_consistency,5.0,0.07298511259963919,-0.05597472903439383,-0.09070576138575562
weather_wind_direction_mean_consistency,6.0,0.07510657355569961,-0.05810788112999191,-0.09500514832463483
weather_wind_direction_mean_consistency,7.0,0.07706345219528825,-0.05996894483254935,-0.09871394763987634
weather_wind_direction_mean_consistency,8.0,0.07880510463196237,-0.061682318520864546,-0.10183936972678158
weather_wind_direction_mean_consistency,9.0,0.08037241357479091,-0.06332189717785255,-0.10480837564267835
weather_wind_direction_mean_consistency,10.0,0.08181782410556189,-0.06471621625641935,-0.1079255510547753
weather_wind_direction_mean_consistency,11.0,0.08316333513999057,-0.06574591551484797,-0.11076369016076029
weather_wind_direction_mean_consistency,12.0,0.08442121069632891,-0.06671902371754633,-0.11331961877480731
weather_wind_direction_mean_consistency,13.0,0.08560778937893461,-0.06770995485585343,-0.1156069368582825
weather_wind_direction_mean_consistency,14.0,0.0866970755812387,-0.06860852240236884,-0.11717888824662943
weather_wind_direction_mean_consistency,15.0,0.08765349845573611,-0.06922235386034199,-0.11794714734110025
weather_wind_direction_mean_consistency,16.0,0.08850981893263277,-0.06940366879686143,-0.11856029099221885
